ID,LACT,DIM,MILK,FAT,PROTEIN,BW,DMI,NEL
1355,2,186,39.908,4.48,3.49,722.5274725,27.28399117,1.67231788
1862,1,136,37.6405,5.04,3.43,609.3877551,24.86277632,1.777692629
1281,2,272,36.28,4.95,4.23,738.2783883,27.25623778,1.637276772
1522,2,153,46.257,3.33,3.33,716.4835165,27.11426855,1.675396518
1204,3,49,46.7105,3.42,3.03,705.5555556,26.39292023,1.742337987
188,3,160,41.2685,4.16,3.5,717.7655678,27.1169915,1.672726103
1943,1,76,38.094,4.99,3.3,600.2040816,24.57493645,1.80100793
1917,1,56,36.28,5.52,3.17,597.1428571,24.319454,1.831714934
9782,4,164,43.9895,3.81,3.14,718.4981685,27.31174474,1.682588059
1421,2,168,47.164,3.08,3.47,719.2307692,27.01664487,1.663552142
1952,1,56,39.908,4.79,2.85,597.1428571,24.44636515,1.83953681
9663,4,197,45.35,3.49,3.26,724.5421245,27.31971408,1.670139247
8966,6,182,45.35,3.5,3.24,721.7948718,27.27234128,1.673194739
1385,2,241,46.257,3.22,3.45,732.6007326,27.32127782,1.653183593
8391,7,196,40.815,4.36,3.23,724.3589744,27.39941452,1.675205691
1507,2,139,41.722,4.11,3.33,713.9194139,27.07227889,1.678745127
1413,2,246,45.8035,3.25,3.5,733.5164835,27.28908978,1.649328674
1048,3,223,43.9895,3.64,3.37,729.3040293,27.32998486,1.66066759
1139,3,83,48.5245,2.95,3.25,703.6630037,26.64776594,1.688775046
9956,4,36,55.327,1.87,3.57,710.7142857,25.12348577,1.739726026
1964,1,76,37.6405,5.01,3.31,600.2040816,24.48109552,1.795265305
1381,2,258,39.001,4.51,3.62,735.7142857,27.3894874,1.650668014
1939,1,31,39.4545,4.72,3.04,600.2380952,23.09743929,1.921232311
1846,1,142,40.815,4.26,3.33,610.3061224,24.76527357,1.769434311
1409,2,193,34.0125,5.68,3.88,723.8095238,27.09070502,1.65810873
1844,1,135,39.4545,4.58,3.27,609.2346939,24.79207351,1.773807778
1962,1,90,39.4545,4.66,3.12,602.3469388,24.66755345,1.790939594
1478,2,167,40.3615,4.18,3.61,719.047619,26.95856777,1.660472389
1431,2,166,38.5475,4.45,3.85,718.8644689,26.83879489,1.65365237
158,5,171,48.978,2.78,3.36,719.7802198,26.95896852,1.658898616
200,3,160,41.722,4.01,3.38,717.7655678,27.03758695,1.668008983
1772,1,207,34.9195,5.27,4.06,620.255102,24.64141538,1.738206785
1928,1,33,38.5475,4.94,2.94,599.2857143,23.26842225,1.909949688
1578,2,71,36.7335,5.09,3.47,701.4652015,26.49866935,1.697144388
1860,1,137,36.7335,4.84,3.91,609.5408163,24.41476562,1.749732642
9063,6,55,46.257,3.17,3.37,703.1746032,26.10371378,1.705374199
1950,1,86,39.908,4.46,3.19,601.7346939,24.51370215,1.785264853
1986,1,44,41.722,4.17,3.01,595.3061224,23.71339426,1.852562567
